workload,scenario,tier,workers,iters,p50_ms,p90_ms,p99_ms,max_ms,ops_per_sec,errors
events,no-filter,cold,2,200,2.351,3.115,3.729,3.876,786.0,0
events,no-filter,cold,4,400,2.616,3.343,3.937,4.130,1426.5,0
events,no-filter,cold,8,800,3.280,3.832,4.426,4.711,2452.4,0
events,no-filter,cold,16,1600,4.247,5.286,6.378,8.131,3736.7,0
events,no-filter,cold,32,3200,6.929,11.117,15.071,26.703,4212.0,0
events,contract,cold,1,100,0.601,17.984,45.243,45.243,177.3,0
events,contract,cold,2,200,0.426,17.823,45.026,45.273,351.7,0
events,contract,cold,4,400,0.421,18.171,44.967,45.978,697.5,0
events,contract,cold,8,800,0.443,18.524,45.984,47.510,1367.6,0
events,contract,cold,16,1600,0.522,19.108,47.165,49.434,2513.4,0
events,contract,cold,32,3200,0.514,21.156,51.491,70.129,4590.4,0
events,topic,cold,1,100,8.387,18.196,26.973,26.973,94.1,0
events,topic,cold,2,200,8.541,18.226,26.760,27.038,170.0,0
events,topic,cold,4,400,8.654,18.435,27.421,27.768,331.5,0
events,topic,cold,8,800,9.137,18.943,28.665,31.060,642.4,0
events,topic,cold,16,1600,9.437,19.620,30.594,31.670,1211.0,0
events,topic,cold,32,3200,11.879,22.998,37.860,46.864,2036.5,0
events,both,cold,1,100,0.067,7.793,45.225,45.225,1184.0,0
events,both,cold,2,200,0.081,9.155,46.066,46.866,1913.0,0
events,both,cold,4,400,0.085,4.812,22.064,47.781,3394.2,0
events,both,cold,8,800,0.092,5.749,23.834,54.654,5889.7,0
events,both,cold,16,1600,0.101,6.018,23.793,65.024,6772.4,0
events,both,cold,32,3200,0.111,8.293,28.704,66.443,11510.4,0
